size,loc
2.138671875,16
0.7939453125,9
0.490234375,7
1.4365234375,14
0.771484375,8
1.7099609375,12
0.3486328125,5
1.04296875,14
0.841796875,7
0.615234375,6
1.0537109375,10
0.7421875,7
1.2109375,13
0.611328125,8
1.5576171875,11
1.3388671875,10
2.166015625,12
1.4794921875,12
0.732421875,9
1.1796875,11
0.6875,5
0.412109375,6
1.8779296875,13
0.2431640625,5
1.09765625,9
2.8818359375,18
2.7783203125,20
1.759765625,13
3.1142578125,27
0.5751953125,8
2.359375,12
2.595703125,15
1.3544921875,10
0.4052734375,6
0.6337890625,9
0.3818359375,5
1.0322265625,11
1.2451171875,10
0.955078125,17
0.5068359375,7
0.9365234375,10
1.0458984375,11
0.7109375,7
0.3935546875,6
3.1630859375,24
0.4990234375,5
0.7666015625,11
1.2021484375,11
1.626953125,15
0.9306640625,10
1.5283203125,15
1.763671875,15
1.2705078125,9
