size,loc
0.3994140625,7
2.482421875,20
4.056640625,28
0.98046875,10
2.0693359375,15
7.6748046875,42
2.548828125,18
1.7138671875,13
0.5380859375,7
3.7490234375,27
1.3125,14
0.892578125,11
2.564453125,20
2.271484375,20
0.423828125,8
1.5244140625,13
1.296875,11
0.3818359375,9
0.96484375,11
4.806640625,33
1.9951171875,16
2.5439453125,17
0.7451171875,10
0.7109375,9
1.43359375,12
0.2626953125,7
3.787109375,32
2.208984375,15
1.9296875,15
1.3701171875,10
2.783203125,22
2.2080078125,19
2.48828125,22
1.7666015625,16
1.0458984375,11
2.0361328125,20
0.6630859375,12
2.1494140625,10
3.029296875,26
3.8505859375,29
1.8681640625,14
5.2646484375,16
0.71875,10
0.9287109375,10
1.943359375,16
2.3916015625,17
0.9423828125,11
0.3359375,8
1.8037109375,18
2.5537109375,19
1.4189453125,12
1.67578125,12
1.8681640625,17
0.9892578125,12
1.3349609375,14
0.517578125,11
5.9072265625,35
1.0029296875,9
2.392578125,18
3.1220703125,24
2.1982421875,18
2.0732421875,15
3.654296875,27
1.05078125,12
0.185546875,7
1.9755859375,16
2.30859375,16
0.6240234375,10
4.3837890625,23
11.95703125,84
2.1201171875,21
1.1171875,14
2.0458984375,15
0.5849609375,9
1.0859375,13
0.841796875,11
3.73828125,25
2.2783203125,16
2.154296875,16
1.2001953125,14
3.4189453125,20
0.923828125,11
2.3662109375,20
0.3291015625,8
2.134765625,20
1.8427734375,18
4.9443359375,29
2.3486328125,16
1.228515625,14
0.9580078125,10
1.689453125,14
0.25390625,8
0.41015625,7
3.3583984375,30
0.248046875,7
2.537109375,19
0.369140625,8
1.99609375,17
0.705078125,9
1.88671875,18
3.37890625,23
0.630859375,10
0.2509765625,7
1.9697265625,18
4.068359375,27
0.2431640625,7
1.2470703125,12
4.7509765625,29
1.2529296875,9
2.4267578125,17
0.4716796875,7
1.19140625,13
2.837890625,26
2.4150390625,17
3.7568359375,30
2.7109375,18
3.0703125,22
1.267578125,10
2.091796875,19
1.62890625,21
1.6689453125,11
4.5947265625,34
1.0693359375,13
0.9619140625,11
1.36328125,12
4.3330078125,28
3.138671875,25
2.908203125,17
2.22265625,21
2.626953125,23
3.2939453125,24
0.8291015625,11
0.712890625,10
2.0927734375,15
2.6708984375,22
1.46484375,17
2.029296875,18
2.3466796875,15
1.4658203125,12
2.25,15
1.4453125,10
0.990234375,11
4.98046875,31
0.7099609375,11
8.232421875,48
1.671875,12
0.228515625,7
0.8720703125,11
