size,loc
2.2822265625,16
1.978515625,12
4.224609375,21
2.5166015625,17
0.927734375,5
3.9912109375,19
1.4873046875,12
0.9189453125,7
3.369140625,17
0.8037109375,6
1.7587890625,13
4.3515625,24
2.5771484375,15
1.3154296875,10
0.802734375,8
2.25,19
1.775390625,14
3.921875,15
0.259765625,5
2.2109375,12
2.330078125,21
1.705078125,14
3.5517578125,24
0.7451171875,7
0.53515625,5
0.287109375,6
2.3701171875,14
1.361328125,13
1.1083984375,7
1.2705078125,9
2.5703125,14
1.7646484375,17
1.15234375,10
0.3408203125,6
0.8662109375,10
1.169921875,9
2.86328125,15
2.75,20
0.978515625,11
1.3876953125,10
1.90234375,12
3.0693359375,19
2.2255859375,14
1.1884765625,10
1.1796875,7
1.2001953125,18
1.4697265625,9
3.44921875,22
1.8251953125,10
1.6181640625,14
1.4404296875,11
0.9208984375,6
0.7822265625,8
0.3994140625,5
1.48046875,8
1.7880859375,13
4.4267578125,26
0.58984375,5
1.29296875,9
2.904296875,18
3.1953125,21
2.23046875,17
1.5693359375,9
0.6943359375,6
0.515625,6
0.314453125,5
1.9873046875,9
2.09375,14
0.314453125,5
1.5185546875,11
2.748046875,22
2.1923828125,14
0.7236328125,8
0.4873046875,6
3.166015625,21
1.9228515625,17
2.8818359375,14
1.525390625,8
0.6259765625,5
3.912109375,24
2.232421875,14
1.234375,11
2.5048828125,20
1.9111328125,11
1.2255859375,7
3.111328125,19
1.900390625,18
2.62109375,18
0.78515625,8
3.537109375,24
2.4765625,18
1.4267578125,7
1.955078125,16
2.3515625,21
2.5927734375,18
1.4833984375,11
0.5361328125,8
1.0712890625,8
2.525390625,15
0.619140625,7
0.501953125,9
3.7275390625,26
0.7197265625,8
1.2216796875,7
1.509765625,12
1.498046875,11
5.6240234375,41
2.68359375,19
0.732421875,7
2.0048828125,16
1.240234375,11
0.630859375,5
1.9599609375,15
1.830078125,13
0.2705078125,5
1.03515625,6
2.109375,13
3.1123046875,18
0.396484375,5
0.5029296875,5
1.75,12
0.767578125,8
3.8212890625,19
3.2197265625,19
0.5556640625,6
0.4541015625,6
2.2861328125,14
1.5263671875,10
1.423828125,11
1.740234375,12
5.42578125,27
1.251953125,11
2.548828125,13
0.9326171875,9
4.5,28
1.9658203125,11
0.9248046875,10
1.8017578125,13
5.095703125,27
2.2353515625,19
3.3671875,16
2.7958984375,22
0.775390625,7
3.94921875,19
0.984375,9
2.392578125,17
1.5546875,10
1.9052734375,18
1.3564453125,13
1.453125,10
4.15234375,24
0.58984375,5
1.318359375,10
3.7177734375,22
0.4755859375,5
2.283203125,15
3.005859375,27
0.654296875,7
1.5556640625,6
5.2841796875,29
1.1083984375,9
2.82421875,20
1.861328125,11
0.85546875,7
2.2109375,16
1.9619140625,13
1.1953125,12
2.5634765625,18
0.51171875,9
5.7490234375,34
0.66015625,6
3.4404296875,18
1.666015625,10
0.9423828125,8
1.7021484375,16
1.478515625,10
0.9404296875,10
2.359375,19
1.4033203125,9
4.265625,22
1.8486328125,10
