GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrVariable.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrLocalDelegatedProperty.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrField,428,0,43,0,115,0,55,0,32,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrConst.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrDynamicOperatorExpression,505,0,51,0,131,0,62,0,35,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrCall,479,0,50,0,126,0,61,0,34,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrGetValue.Builder,227,0,20,0,63,0,29,0,19,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,ExpectActualTable.Builder,299,0,24,0,86,0,36,0,24,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrBlock.Builder,371,0,30,0,103,0,43,0,28,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrThrow,319,0,27,0,91,0,42,0,28,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrClass,1183,0,143,0,280,0,129,0,52,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrPropertyReference.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrFunctionBase.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrAnonymousInit.Builder,289,0,30,0,80,0,36,0,21,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrFunctionExpression.Builder,289,0,30,0,80,0,36,0,21,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrSyntheticBody.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,FieldAccessCommon.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrSetValue.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,ExpectActualTable.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,NullableIrExpression.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,AccessorIdSignature.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,FileWrappedIdSignature.Builder,289,0,30,0,80,0,36,0,21,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrFunctionBase.Builder,1103,0,110,0,286,0,122,0,67,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrClassReference.Builder,232,0,22,0,65,0,30,0,19,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrTypeAbbreviation.Builder,583,0,48,0,154,0,64,0,40,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrDoWhile.Builder,218,0,22,0,63,0,28,0,17,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,FileSignature,222,0,12,0,67,0,32,0,26,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrGetClass,319,0,27,0,91,0,42,0,28,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrErrorCallExpression,484,0,49,0,124,0,61,0,35,0
